Year,Month,Male_Death,Male_ASMR,Female_Death,Female_ASMR,Young_Death,Young_ASMR,Middle_Death,Middle_ASMR,Old_Death,Old_ASMR,Hispanic_Death,Hispanic_ASMR,White_Death,White_ASMR,Black_Death,Black_ASMR,Asian_Death,Asian_ASMR,AI_Death,AI_ASMR
1999,January,64573,100.1643435,73120,70.03893251,3421,3.903873852,18342,32.43824038,115930,344.658114,6026,77.87633579,113921,80.50057305,15332,109.5260694,1960,56.29038009,454,72.0309794
,February,58011,89.83561527,66834,63.93674755,3062,3.497655349,16004,28.28416975,105779,314.1704554,5281,68.79224617,103671,73.09591182,13658,97.613766,1803,50.63798878,432,64.0084187
,March,62969,97.54364027,72591,69.40047023,3406,3.892804342,17534,31.05093469,114620,340.515228,5423,70.42460879,113046,79.77247605,14798,105.5002843,1844,52.05341133,449,68.269219
,April,54937,84.62375656,61542,58.99370922,3175,3.625696057,15903,28.10763618,97401,288.8643035,4762,61.12504937,96529,68.14653062,13167,93.3858853,1602,45.69663718,419,61.43361787
,May,53129,81.66999134,59094,56.73226984,3163,3.611690421,15886,28.03741208,93174,276.2964152,4747,60.37809806,92729,65.54745143,12701,89.95594668,1664,47.17288365,382,56.30971973
,June,49780,76.17067589,54664,52.48542224,3053,3.485467339,14989,26.4091471,86402,255.9807922,4424,56.03148747,86075,60.88077347,12008,84.84963282,1536,42.97730053,401,60.00555979
,July,50961,78.00169772,56839,54.57961873,3211,3.665309147,15363,27.0772992,89226,264.4093169,4814,61.06900655,88098,62.27999547,12942,91.77337757,1594,44.97261685,352,52.03241164
,August,49559,76.09900425,55081,52.95694043,3031,3.471260859,14938,26.3344311,86671,257.0356173,4498,57.66117283,85635,60.54647082,12646,89.57322891,1493,41.43100679,368,52.95830382
,September,48875,75.08470941,54951,52.67615437,2970,3.392651351,14502,25.52390033,86354,256.0677827,4291,54.58000406,85544,60.42061429,12112,85.88046802,1482,40.77651792,397,58.13427992
,October,53995,83.3098215,60153,57.67789418,3084,3.525665243,15821,27.91774386,95243,282.6615445,4810,61.28339389,94084,66.46656584,13172,93.93386087,1644,46.02763596,438,65.82329484
,November,53167,82.2471979,59518,56.99560862,2987,3.416476939,15385,27.16300128,94313,280.1415401,4843,61.83152339,93028,65.76108161,12785,91.24855523,1605,45.15521215,424,63.76360148
,December,62635,96.97158376,70916,67.98749044,3361,3.839830902,18020,31.85818501,112170,333.2032866,6001,77.60924438,109953,77.70006647,15092,107.418741,2044,59.54990781,461,69.58279132
2000,January,69150,106.1481212,79490,75.01955303,3405,3.888789148,19151,33.10922674,126084,370.5413517,6299,78.26499099,123460,86.31788203,16274,115.0025797,2086,56.11347518,521,73.78909398
,February,56393,85.9507865,64576,61.10870195,3112,3.549996451,16306,28.16188835,101551,297.9501849,5164,63.34515895,99974,69.90073594,13678,96.14687073,1725,45.5061992,428,59.23604478
,March,55878,85.0168175,63002,59.65841469,3097,3.528886352,16231,28.02775988,99552,291.7915821,5135,63.10387892,98271,68.68728213,13343,93.60244665,1692,45.54695188,439,60.3138429
,April,52756,80.10543305,58599,55.51518081,2978,3.398162186,15472,26.66372805,92905,272.4709182,4800,58.53344,91935,64.34437252,12548,88.16694257,1605,43.18080398,467,63.48450746
,May,52908,80.16138899,59132,56.12499259,3060,3.498011357,15857,27.36573846,93123,272.9602291,4920,60.27861817,92300,64.63268147,12742,89.12819893,1657,43.62891256,421,57.84324514
,June,49828,75.37744409,55213,52.37422154,2807,3.201493231,15157,26.08552754,87077,255.02559,4634,56.31450475,86308,60.45018648,12067,84.28457257,1621,41.66779434,411,56.43141497
,July,50447,76.532027,57129,54.16614486,2929,3.3417667,15422,26.57346639,89225,261.5735387,4749,58.07085844,88430,61.97927709,12409,86.67426957,1574,41.18435017,414,56.61271892
,August,50739,77.04052639,56878,53.95818738,2877,3.27492993,15367,26.46120399,89373,262.0741553,4645,56.59280123,88462,61.96289553,12461,87.56357114,1643,43.36406087,406,54.03274596
,September,50037,75.97249,56871,53.88986445,2821,3.218187526,15114,26.03080364,88973,261.0612484,4641,56.33406016,87758,61.45135333,12460,87.37697466,1653,43.8495652,396,54.05473495
,October,53593,81.54617052,61493,58.20772238,2841,3.239812316,15831,27.28523899,96414,282.7572402,4946,60.39251179,94976,66.43375155,13041,91.8067483,1718,45.38204871,405,57.26264433
,November,55021,83.95394539,61970,58.62131128,2927,3.338384856,16154,27.84641324,97910,287.2724778,5127,62.78823763,96398,67.44887212,13271,93.62309314,1777,47.38486527,418,56.589945
,December,60845,92.9952441,69585,65.8615191,3158,3.602443067,17935,30.95697491,109337,321.157669,5595,69.35188207,107761,75.47745552,14726,103.8976,1921,50.76889696,427,58.01136839
2001,January,62542,93.18397292,72016,67.13107769,3359,3.830199155,18146,30.15761322,113053,326.945769,6117,70.97218108,110691,76.3174793,15168,105.115293,2106,51.33762213,476,64.14941797
,February,54805,81.50182877,62163,57.94838955,2916,3.32599853,16147,26.75442912,97905,282.8732891,5232,60.74847745,96192,66.30582714,13224,91.41112811,1878,46.21156863,442,59.08107944
,March,58924,87.66363979,67851,63.25135476,3221,3.67153793,17432,28.94387857,106122,306.7052608,5576,64.49034437,104606,72.15889578,14196,98.16456045,1930,47.35405581,467,61.89088051
,April,55044,81.74095484,62737,58.52011994,2960,3.37055563,16263,26.9766373,98558,284.7229453,5215,60.68523302,96996,66.87772596,13295,91.55826631,1816,43.81410702,459,63.81646075
,May,54394,80.72980938,61379,57.2874079,3062,3.489618146,16173,26.80044685,96538,278.9446981,5247,60.81321798,95000,65.52831333,13228,91.02467505,1865,45.65677742,433,57.53831848
,June,51592,76.41287724,57903,54.02971618,2950,3.36509339,15471,25.61701279,91074,263.1437232,4780,55.17398195,89968,62.05839748,12704,87.63764358,1656,40.37044393,387,51.78284182
,July,50846,75.26032158,57509,53.76357705,2903,3.311878917,15786,26.11971844,89666,259.0261088,5094,58.15286922,88296,60.96750738,12872,88.80612963,1711,42.12376666,382,50.93165071
,August,50554,74.75623826,57112,53.40281578,2952,3.364711313,15922,26.36368665,88792,256.5385803,4917,56.06399826,87854,60.73612519,12773,88.02848592,1711,41.44558078,411,54.73432465
,September,49456,73.46524189,56049,52.41123167,2851,3.245982766,15361,25.44365423,87293,252.3610341,4913,56.38853706,86075,59.47290763,12423,85.39571707,1689,40.87978407,405,53.18496471
,October,54133,80.51476246,61271,57.19317171,2949,3.356778306,16352,27.11022587,96103,277.8518185,5319,61.34699078,94381,65.13368455,13525,93.47098005,1762,42.66217585,417,54.52728908
,November,52987,78.83490983,59798,55.91191979,2942,3.351803568,15980,26.54629001,93863,271.3128429,5174,59.18805804,92581,63.95120252,12880,89.11888911,1732,41.97238119,418,56.67891071
,December,57416,85.46693055,64698,60.41765454,3053,3.471659059,17377,28.80903189,101684,294.0726138,5818,66.9479609,100031,69.06646742,13803,95.44735973,2006,49.18515356,456,61.45371946
2002,January,62291,91.14778597,70361,64.84119719,3377,3.867933266,18689,29.74278101,110586,316.3486392,6340,69.86634831,108657,74.0725507,15091,102.9341537,2088,48.17178355,476,61.65252812
,February,57549,84.34397576,65445,60.23034767,2951,3.378263084,16657,26.50108015,103386,295.6754331,5658,62.42132471,100961,68.71109257,13853,94.6979886,2034,47.037849,488,63.38965363
,March,61095,89.40018445,70519,64.91343069,3288,3.764978308,17947,28.54490835,110379,315.6562185,5981,66.22000834,108506,73.90944903,14536,98.94362249,2108,48.56600665,483,62.52432315
,April,54002,78.54003365,61042,56.27195389,3076,3.529648012,16528,26.28565166,95440,272.6663397,5395,59.28183402,94473,64.39151841,12830,86.98944283,1914,44.47537828,432,56.41840319
,May,54556,79.24944628,59962,55.3881002,3206,3.672617189,16796,26.65305854,94516,269.9043157,5297,57.8721862,93551,63.77594058,13343,90.38692345,1866,42.93130625,461,61.69140188
,June,50414,73.26322994,55701,51.42382407,2932,3.34789735,15706,24.99008047,87477,249.8708914,4861,53.175241,86765,59.21572916,12377,84.31086772,1689,38.50284727,423,54.62500477
,July,51493,74.74754582,57275,52.9786961,3058,3.501715251,16629,26.37350555,89081,254.4614461,5261,57.17134742,88433,60.38101551,12837,87.00595344,1816,41.7319417,421,53.8162356
,August,50775,73.77081495,56089,51.78491517,3020,3.454273828,15973,25.3533537,87871,251.0810134,4939,53.71680944,87304,59.60212599,12444,84.22082341,1766,40.64239535,411,53.48594898
,September,49803,72.42346832,55614,51.37599882,2825,3.238854043,15579,24.74400995,87013,248.795544,4868,52.78169331,86250,58.89128354,12201,82.82623761,1693,38.69642086,405,52.65836338
,October,53528,78.02141032,59979,55.34825653,2963,3.397167562,16845,26.74818294,93699,268.0268467,5237,56.84082433,92867,63.42381681,13140,89.39410748,1818,41.38836663,445,57.48350012
,November,55007,80.23098807,61144,56.4102789,3014,3.448615623,17033,27.08473912,96104,274.9511247,5341,58.24260246,95126,64.95102762,13319,91.00346661,1886,42.93298203,479,62.25833025
,December,60140,87.97030949,67717,62.41992476,3294,3.766777544,18306,29.13915134,106257,304.1515716,5849,64.41064521,104733,71.48592857,14720,100.1958492,2066,48.10608198,489,64.25511874
2003,January,61632,88.0267196,69011,62.68536356,3363,3.873279404,18848,28.84206889,108432,305.7799595,6108,63.78638044,106746,71.77686567,15089,100.7929841,2213,47.93459121,487,63.36588647
,February,55105,78.47638824,61769,56.13341262,3017,3.484347765,17237,26.34694734,96620,272.4222382,5460,56.47832511,95490,64.26714854,13494,90.1242874,1962,42.24573272,468,59.25115699
